apprehension_site_landmark,n
"ETW GENERAL AREA, NON-SPECIFIC",2452
"Mobile, AL General Non-specific AOR",2259
"BHM GENERAL AREA, NON-SPECIFIC",1095
"MGA GENERAL AREA, NON-SPECIFIC",993
"FUGITIVE OPERATIONS, AL STATE",554
"CAP - LEE COUNTY JAIL, AL STATE",315
,266
"CAP - JEFFERSON COUNTY JAIL, AL STATE",208
"CAP - MORGAN COUNTY JAIL, AL STATE",166
"CAP - MADISON COUNTY JAIL, AL STATE",154
"CAP - TUSCALOOSA COUNTY JAIL, AL STATE",122
"CAP - SHELBY COUNTY JAIL, AL STATE",111
Aliceville FCI,98
"BALDWIN COUNTY CORRECTIONAL CENTER, AL",93
"CAP - LIMESTONE COUTY JAIL, AL",79
"CAP - ALBERTVILLE CITY JAIL, AL STATE",76
"FOLEY PD, AL",75
"CAP - COFFEE COUNTY JAIL, AL STATE",73
"CAP - MONTGOMERY CITY JAIL, AL STATE",72
"CAP - CHILTON COUNTY JAIL, AL STATE",66
"MOBILE METRO JAIL, AL",66
"CAP - ELMORE COUNTY JAIL, AL STATE",61
"CAP - ST. CLAIR COUNTY JAIL, AL STATE",61
"CAP - CHAMBERS COUNTY JAIL, AL STATE",60
Mobile AL ERO   at large arrest,58
"CAP - MONTGOMERY COUNTY JAIL, AL STATE",47
"CAP - TALLAPOOSSA COUNTY JAIL, AL STATE",35
"CAP - HOUSTON COUNTY JAIL, AL STATE",34
"CAP - RUSSELL COUNTY JAIL, AL STATE",33
"CAP - DEKALB COUNTY JAIL, AL STATE",32
"CAP - DOTHAN CITY JAIL, AL STATE",32
"GULF SHORES PD, AL",32
"CAP - AUTAUGA COUNTY JAIL, AL STATE",31
"CAP - COLBERT COUNTY JAIL, AL STATE",31
"CAP - CULLMAN COUNTY JAIL, AL STATE",31
"ROBERTSDALE PD, AL",30
"CAP - MARSHALL COUNTY JAIL, AL STATE",26
"CAP - CALHOUN COUNTY JAIL, AL STATE",25
"CAP - FRANKLIN COUNTY JAIL, AL STATE",23
"CAP - GENEVA COUNTY JAIL, AL STATE",22
"CAP - HOOVER CITY JAIL, AL STATE",22
"CAP - TALLADEGA COUNTY JAIL, AL STATE",22
"XBI GENERAL AREA, NON-SPECIFIC",22
"CAP - LAUDERDALE COUNTY JAIL, AL STATE",21
"FAIRHOPE PD, AL",21
"CAP - BOAZ CITY JAIL, AL STATE",20
"CAP - DALE COUNTYJAIL, AL STATE",20
"CAP - HENRY COUNTY JAIL, AL STATE",18
"CAP - WALKER COUNTY JAIL, AL STATE",18
"CAP - BLOUNT COUNTY JAIL,  AL STATE",17
"CAP - ETOWAH COUNTY JAIL, AL STATE",16
"CAP - MARION COUNTY JAIL, AL STATE",14
"CAP - PELHAM CITY JAIL, AL STATE",14
"ESCAMBIA COUNTY JAIL, AL",14
"NSV GENERAL AREA, NON-SPECIFIC",14
"USMS Southern Dist AL Mobile, AL",14
