apprehension_site_landmark,n
"ASF GENERAL AREA, NON-SPECIFIC",1206
"JEFFERSON PARISH, LA",832
"NOL GENERAL AREA, NON-SPECIFIC",631
,549
"KENNER, LA",517
"ST. CHARLES PARISH, LA",507
FEDERAL CORRECTIONAL INSTITUTE - OAKDALE,479
"BTN GENERAL AREA, NON-SPECIFIC",398
"LAF GENERAL AREA, NON-SPECIFIC",384
"ORLEANS PARISH, LA",379
"VVS GENERAL AREA, NON-SPECIFIC",282
"ST. TAMMANY PARISH, LA",273
Bossier Parish Maximum,235
"JNA GENERAL AREA, NON-SPECIFIC",231
EAST BATON ROUGE PARISH PRISON,178
FCI Pollock,159
"OAK GENERAL AREA, NON-SPECIFIC",129
LAFAYETTE,124
"TANGIPAHOA PARISH, LA",110
"TERRABONE PARISH, LA",107
LIVINGSTON PARISH PRISON,102
"LAFAYETTE PARISH SHERIFF'S OFFICE-LAFAYETTE, LA",101
"WNF GENERAL AREA, NON-SPECIFIC",96
"ST. BERNARD PARISH, LA",86
LAF GENERAL AOR,69
ASCENSION PARISH PRISON,66
ST. MARY,66
ST LANDRY,44
Lincoln Parish Detention Center,37
Plaquemines Parish Jail,37
"CALCASIEU PARISH SHERIFF'S OFFICE-LAFAYETTE, LA",34
"ST. JOHN THE BAPTIST PARISH, LA",33
CALCASIEU,32
CALCASIEU AOR,31
"LAFOURCHE PARISH, LA",31
Caddo Parish Correctional Center,30
WEST BATON ROUGE DETENTION CENTER,27
IBERIA,22
POINT COUPEE PARISH PRISON,21
ST MARTIN,21
Union Parish Correctional Center,21
"DAVIDSON COUNTY JAIL, TN",20
Rapides Parish Jail,17
"NSV GENERAL AREA, NON-SPECIFIC",16
"Plaquemines Parish, LA",15
Bossier Parish Medium,14
Shreveport City Jail,14
"CNG GENERAL AREA, NON-SPECIFIC",13
"RUTHERFORD COUNTY JAIL, TN",13
"KNX GENERAL AREA, NON-SPECIFIC",12
DeSoto Parish Detention Center,11
FEDERAL DETENTION CENTER - OAKDALE,11
ACADIA,9
Bienville Parish Jail,9
"MEM GENERAL AREA, NON-SPECIFIC",9
"SUMNER COUNTY JAIL, TN",9
YAZOO CITY FCI,9
"ETW GENERAL AREA, NON-SPECIFIC",8
"ASSUMPTION PARISH, LA",7
Bossier City Jail,7
"GUL GENERAL AREA, NON-SPECIFIC",6
"HAMILTON COUNTY JAIL, TN",6
"BHM GENERAL AREA, NON-SPECIFIC",5
CAMERON,5
Claiborne Parish Jail,5
FUGITIVE OPERATIONS TN STATE,5
"ST. JAMES PARISH, LA",5
VERMILLION,5
AVOYELLES,4
BEAURGARD,4
CAP - SHELBY COUNTY JAIL TN STATE,4
DIXON CORRECTIONAL CENTER,4
LOUISIANA STATE PENITENTIARY - ANGOLA,4
"Livingston Parish, LA",4
"Mobile, AL General Non-specific AOR",4
"PUTNAM COUNTY JAIL, TN",4
"WASHINGTON COUNTY JAIL, TN",4
Webster Parish Jail,4
ALLEN PARISH JAIL,3
"EAST BATON ROUGE PARRISH SHERRIF'S OFFICE, LA",3
FCI  FORREST CITY,3
JEFF DAVIS,3
"JEFFERSON COUNTY JAIL, BIRMINGHAM, AL",3
"LOUDON COUNTY JAIL, TN",3
"LRA GENERAL AREA, NON-SPECIFIC",3
"MGA GENERAL AREA, NON-SPECIFIC",3
"ROBERTSON COUNTY JAIL, TN",3
USP Pollock,3
WASHINGTON COUNTY JAIL,3
ADC OUACHITA RIVER UNIT,2
"ANDERSON COUNTY JAIL, TN",2
BENTON COUNTY JAIL,2
Belle Chasse Lockup,2
CAP - BOP FCI MEMPHIS TN STATE,2
"CAP - ETOWAH COUNTY JAIL, AL STATE",2
"CHEATHAM COUNTY JAIL, TN",2
"CHI GENERAL AREA, NON-SPECIFIC",2
"COFFEE COUNTY JAIL, TN",2
CRAIGHEAD COUNTY JAIL,2
EAST FELICIANA PARISH JAIL,2
EVANGELINE,2
FAYETTVILLE ICE OFFICE,2
"HAMBLIN COUNTY JAIL, TN",2
"JAK GENERAL AREA, NON-SPECIFIC",2
"KNOX COUNTY JAIL, TN",2
LRA OFFICE ARREST,2
"Lafourche Parish Sheriff's Office, LA",2
"MCMINN COUNTY JAIL, TN",2
Minden Police Dept,2
PULASKI COUNTY JAIL,2
"SCOTT COUNTY, MS",2
"SEVIER COUNTY JAIL, TN",2
ST HELENA PARISH JAIL,2
Shreveport RAC,2
WEST FELICIANA PARISH JAIL,2
"WILSON COUNTY JAIL, TN",2
"XHU GENERAL AREA, NON-SPECIFIC",2
ALLEN CORRECTIONAL CENTER,1
"AUS GENERAL AREA, NON-SPECIFIC",1
"BEDFORD COUNTY JAIL, TN",1
"BLOUNT COUNTY JAIL, TN",1
Benton County Jail 287(g),1
"CAP - ARAB CITY JAIL, AL STATE",1
"CAP - COFFEE COUNTY JAIL, AL STATE",1
CAP - DESOTO COUNTY JAIL MS STATE,1
"CAP - JEFFERSON COUNTY JAIL, AL STATE",1
CAP - LEE COUNTY JAIL MS STATE,1
CAP - TIPTON COUNTY JAIL TN STATE,1
CARROLL COUNTY JAIL,1
CHIFUGITIVE OPERATIONS,1
"COVINGTON COUNTY JAIL, MS",1
Caddo Parish Court,1
Claiborne DOC,1
"DAVIS CORRECTIONAL FACILITY, ATMORE, AL",1
"DICKSON COUNTY JAIL, TN",1
David Wade Correctional Center,1
EYLAN HUNT CORRECTIONAL CENTER,1
"FEDERAL CORRECTIONAL INSTITUTE - ALICEVILLE, AL",1
"FOLEY PD, AL",1
FUGITIVE OPERATIONS  MS STATE,1
"GILES COUNTY JAIL, TN",1
GREENE COUNTY JAIL,1
"HAMBLEN COUNTY JAIL, TN",1
"HARRISON COUNTY ADULT DETENTION FACILITY, MS",1
HOWARD COUNTY JAIL,1
"JACKSON COUNTY ADULT DETENTION CENTER, MS",1
JEFFERSON PARISH N OF LA 90 AND MISSISSIPPI RIVER,1
"JONES COUNTY ADULT DETENTION CENTER, MS",1
"LINCOLN COUNTY JAIL, TN",1
"MAURY COUNTY JAIL, TN",1
"MONTGOMERY COUNTY JAIL, TN",1
"ORANGE BEACH PD, AL",1
OUACHITA COUNTY JAIL,1
"RANKIN COUNTY, MS",1
"ROANE COUNTY JAIL, TN",1
"SMITH COUNTY JAIL, TN",1
"TROUSDALE COUNTY JAIL, TN",1
USMS,1
"VAN BUREN COUNTY JAIL, TN",1
"WARREN COUNTY JAIL, TN",1
"WILLIAMSON COUNTY JAIL, TN",1
Webster DOC,1
"XSH GENERAL AREA, NON-SPECIFIC",1
