apprehension_site_landmark,n
YAZOO CITY FCI,940
"GUL GENERAL AREA, NON-SPECIFIC",582
"RANKIN COUNTY, MS",454
FUGITIVE OPERATIONS  MS STATE,277
CAP - DESOTO COUNTY JAIL MS STATE,216
"MADISON COUNTY, MS",163
"HINDS COUNTY, MS",152
,133
"MEM GENERAL AREA, NON-SPECIFIC",129
"HARRISON COUNTY ADULT DETENTION FACILITY, MS",123
"PEARL RIVER COUNTY JAIL, MS",105
"SCOTT COUNTY, MS",105
"FORREST COUNTY ADULT DETENTION CENTER, MS",104
CAP - LAFAYETTE COUNTY JAIL MS STATE,93
"NOL GENERAL AREA, NON-SPECIFIC",93
"HANCOCK COUNTY, MS",82
"JONES COUNTY ADULT DETENTION CENTER, MS",81
"NEWTON COUNTY, MS",73
"NESHOBA COUNTY, MS",69
"JACKSON COUNTY ADULT DETENTION CENTER, MS",60
"JAK GENERAL AREA, NON-SPECIFIC",60
"LEAKE COUNTY CORRECTIONAL FACILITY, MS",54
"YAZOO COUNTY, MS",51
CAP - LEE COUNTY JAIL MS STATE,47
"HANCOCK COUNTY JAIL, MS",46
"STONE COUNTY REGIONAL CORRECTIONAL FACILITY, MS",46
"LAFAYETTE COUNTY, MS",42
CAP - PONTOTOC COUNTY JAIL MS STATE,38
"LAUDERDALE COUNTY, MS",30
"LAMAR COUNTY ADULT DETENTION CENTER, MS",27
"LOWNDES COUNTY, MS",21
CAP - Tallahatchie County Correctional Facility MS STATE,19
FUGITIVE OPERATIONS TN STATE,19
"PIKE COUNTY, MS",16
"WAYNE COUNTY ADULT DETENTION CENTER,  MS",14
"WINSTON COUNTY, MS",14
CAP - ALCORN COUNTY JAIL MS STATE,13
CAP - ITAWAMBA COUNTY JAIL MS STATE,13
CAP - TISHOMINGO COUNTY JAIL MS STATE,13
CAP - TIPPAH COUNTY JAIL MS STATE,12
"MARION/WALTHALL CORRECTIONAL FACILITY, MS",12
MEMPHIS ERO OFFICE,12
"COVINGTON COUNTY JAIL, MS",11
"LAWRENCE COUNTY JAIL, MS",11
CAP - UNION COUNTY JAIL MS STATE,10
"SIMPSON COUNTY, MS",10
CAP - PANOLA COUNTY JAIL MS STATE,9
"CARROL COUNTY, MS",9
SOUTH MISSISSIPPI CORRECTIONAL INSTITUTE,9
"BOLIVAR COUNTY, MS",8
CAP - TATE COUNTY JAIL MS STATE,8
"KEMPER-NESHOBA COUNTY/REGIONAL CORRECTIONAL FACILITY, MS",8
"NOXUBEE COUNTY, MS",8
"LINCOLN, COUNTY, MS",7
"OKTIBBEHA COUNTY, MS",7
"FORREST COUNTY CWC (COMMUNITY WORK CENTER), MS",6
"MONROE COUNTY, MS",6
"MONTGOMERY COUNTY, MS",6
"KEMPER COUNTY, MS",5
"PERRY COUNTY JAIL, MS",5
"CALHOUN COUNTY, MS",4
CENTRAL MISSISSIPPI CORRECTIONAL FACILITY,4
"COPIAH COUNTY, MS",4
"FUGITIVE OPERATIONS, AL STATE",4
"LEFLORE COUNTY, MS",4
CAP - MARSHAL COUNTY JAIL MS STATE,3
CAP - TUNICA COUNTY JAIL MS STATE,3
"CHICKASAW COUNTY, MS",3
"HARRISON COUNTY, MS",3
"PICAYUNE PD, MS",3
CAP - MADISON COUNTY JAIL TN STATE,2
"FORREST COUNTY, MS",2
"JASPER COUNTY JAIL, MS",2
"MADISON COUNTY JAIL, HUNTSVILLE, AL",2
OLD,2
"WARREN COUNTY SHERIFF'S OFFICE, MS",2
"BTN GENERAL AREA, NON-SPECIFIC",1
CAP - HARDEMANN COUNTY JAIL TN STATE,1
CAP - PRENTISS COUNTY JAIL MS STATE,1
FUGITIVE OPERATIONS MA,1
"GREENE COUNTY ADULT DETENTION CENTER,  MS",1
"GRENADA COUNTY, MS",1
"ISSAQUENA COUNTY, MS",1
"JACKSON COUNTY JAIL, SCOTTSBORO, AL",1
"JEFFERSON COUNTY REGIONAL CORRECTIONAL FACILITY, MS",1
"KAN GENERAL AREA, NON-SPECIFIC",1
"LAF GENERAL AREA, NON-SPECIFIC",1
"LAUDERDALE COUNTY JAIL, FLORENCE, AL",1
LIVINGSTON PARISH PRISON,1
"MDOC STONE CO, MS",1
MISSISSIPPI DOC POPLARVILLE (PROBATION),1
"RUTHERFORD COUNTY JAIL, TN",1
"ST. CHARLES PARISH, LA",1
U.S. Marshals,1
US SOUTHERN DISTRICT MISSISSIPPI HATTIESBURG (PROBATION),1
"WAVELAND PD, MS",1
"WILKINSON COUNTY CORRECTIONAL CENTER, MS",1
