apprehension_aor,office,arrests,total_population,immigrant_population,immigrant_percent,immigrant_naturalized,immigrant_naturalized_percent,immigrant_noncitizen,immigrant_noncitizen_percent,arrests_per10k_population,arrests_per10k_immigrant_population,arrests_per10k_immigrant_naturalized,arrests_per10k_immigrant_noncitizen
Miami Area of Responsibility,Miami,61326,25650386,4993193,0.19466346432369477,2862788,0.11160798905716272,2130405,0.08305547526653205,23.90841213851519,122.81920606713982,214.2177485723707,287.8607588697924
New Orleans Area of Responsibility,New Orleans,45097,22761282,1097318,0.04820985039419133,425893,0.018711292272553012,671425,0.029498558121638315,19.813031620978116,410.97475845652764,1058.8809865388725,671.6610194735078
Dallas Area of Responsibility,Dallas,41810,15252814,2050622,0.13444220850001842,839678,0.05505069425222126,1210944,0.07939151424779715,27.41133537719663,203.88935649768703,497.92896800916543,345.26782411077636
Atlanta Area of Responsibility,Atlanta,39581,26967036,2501204,0.09275042314624418,1141602,0.04233323973758184,1359602,0.05041718340866234,14.677549286469601,158.24778786536402,346.71452923172876,291.1219606914376
Houston Area of Responsibility,Houston,36828,9907209,2004641,0.20234164838957167,859153,0.0867199833979479,1145488,0.11562166499162378,37.1729313472644,183.71369237683953,428.6547332081713,321.5048957300295
Chicago Area of Responsibility,Chicago,32900,39134578,3316677,0.08475054975679053,1623241,0.04147843372681826,1693436,0.04327211602997227,8.406887637832712,99.19567084765868,202.68093277584782,194.27955942828663
San Antonio Area of Responsibility,San Antonio,32188,5518814,773855,0.14022125043532904,333542,0.060437260614327644,440313,0.07978398982100139,58.324125437095724,415.94355531721055,965.0358875344035,731.0254296375533
Los Angeles Area of Responsibility,Los Angeles,21245,19212916,5572484,0.29003843039755134,3071769,0.1598804158619129,2500715,0.1301580145356384,11.05766558288185,38.124829070841656,69.16210170751772,84.95570266903665
Phoenix Area of Responsibility,Phoenix,19528,7378838,957784,0.12980146738551518,464354,0.06293050477595524,493430,0.06687096260955994,26.464871569209137,203.88730653257937,420.5412250136749,395.7602902134041
Harlingen Area of Responsibility,Harlingen,19381,2226436,463144,0.20802035180889997,159173,0.07149228632666738,303971,0.1365280654822326,87.04943685783019,418.4659630698012,1217.6060010177605,637.5937178217658
Washington Area of Responsibility,Washington,18691,9386464,1240214,0.13212792378471808,693808,0.07391580045478255,546406,0.058212123329935535,19.912716865477776,150.70786170773755,269.3972972349699,342.0716463582025
Newark Area of Responsibility,Newark,17425,9343809,2236554,0.23936212737225257,1257744,0.13460720355050065,978810,0.10475492382175192,18.648711676362392,77.91003481248384,138.54170642038443,178.02229237543546
Philadelphia Area of Responsibility,Philadelphia,16721,15818203,1146586,0.07248522477553235,633323,0.04003760730596263,513263,0.03244761746956971,10.570732971374815,145.83293359590994,264.02009717000647,325.77840210574306
San Diego Area of Responsibility,San Diego,16541,3468976,806730,0.23255565907633838,474528,0.13679195243783757,332202,0.09576370663850081,47.682659090175314,205.03762101322621,348.577955357745,497.9199402773012
El Paso Area of Responsibility,El Paso,16286,3432031,466157,0.13582540484045744,220211,0.06416346472394917,245946,0.07166194011650827,47.452951328236836,349.36727325772216,739.5634187211357,662.1778764444227
Salt Lake City Area of Responsibility,Salt Lake City,15078,9628080,1052146,0.10927890088158802,518801,0.05388415966630938,533345,0.055394741215278646,15.660443203629384,143.30710756872145,290.6316680191442,282.7063157993419
Boston Area of Responsibility,Boston,14050,15200156,2178634,0.14332971319504878,1187786,0.07814301379538473,990848,0.06518669939966405,9.24332618691545,64.48995104271759,118.28730091110688,141.79773285105284
St. Paul Area of Responsibility,St Paul,13677,12620928,919744,0.07287451445725703,474757,0.037616647523858786,444987,0.03525786693339824,10.836762558189065,148.70442210006263,288.084219927247,307.35729358385754
Detroit Area of Responsibility,Detroit,13607,21888054,1344983,0.06144826762580173,738931,0.033759556697000107,606052,0.02768871092880162,6.2166330547247375,101.1685649558396,184.1443923722242,224.51868816537194
New York City Area of Responsibility,New York City,12396,13810406,4152776,0.30069905258397184,2477838,0.17941818654715871,1674938,0.12128086603681311,8.97584039165829,29.849912444109673,50.02748363694479,74.00870957611565
San Francisco Area of Responsibility,San Francisco,11144,18050720,4478088,0.2480836221491442,2368078,0.13119022399106517,2110010,0.11689339815807902,6.173714954306532,24.88562082746029,47.059260716918956,52.81491556912052
Seattle Area of Responsibility,Seattle,9254,12806115,1681955,0.13133998874756317,830449,0.06484784807882797,851506,0.06649214066873521,7.226235279005381,55.01930788873662,111.43369430272058,108.6780363262267
Denver Area of Responsibility,Denver,8769,6444586,597147,0.09265870608290432,283848,0.0440444118520569,313299,0.04861429423084741,13.606770085774322,146.84826349290879,308.9329500295933,279.8923711853533
Baltimore Area of Responsibility,Baltimore,7919,6206011,1030670,0.16607608333275595,562664,0.09066435750758418,468006,0.07541172582517176,12.760209416322336,76.8335160623672,140.74118834686422,169.20723238590958
Buffalo Area of Responsibility,Buffalo,6334,6041960,373238,0.06177432488795027,215966,0.03574436110136446,157272,0.02602996378658581,10.483353084098537,169.70404942690723,293.2869062722836,402.74174678264404
