apprehension_state,arrests,total_population,immigrant_population,immigrant_percent,immigrant_naturalized,immigrant_naturalized_percent,immigrant_noncitizen,immigrant_noncitizen_percent,arrests_per10k_population,arrests_per10k_immigrant_population,arrests_per10k_immigrant_naturalized,arrests_per10k_immigrant_noncitizen
TEXAS,124848,30188424,5302466,0.17564567133415113,2221483,0.07358724655516963,3080983,0.10205842477898151,41.35624966709094,235.45271200230232,562.0029502814111,405.22132059800396
FLORIDA,57793,22416077,4905727,0.21884859692443062,2817269,0.12568073351996426,2088458,0.09316786340446635,25.781942130195215,117.80720777980511,205.13838046704095,276.72569905643303
CALIFORNIA,46847,39287377,10598301,0.26976351717244956,5756924,0.1465336817981002,4841377,0.12322983537434938,11.924186234168802,44.202367907837306,81.37505376134894,96.76379261520017
GEORGIA,21100,10940407,1222778,0.1117671399245019,591522,0.054067641176420586,631256,0.05769949874808131,19.286302602819074,172.5578968545394,356.70693566765055,334.2542486724879
NEW YORK,19063,19852366,4526014,0.22798360658875622,2693804,0.1356918364289677,1832210,0.09229177015978851,9.602381902489608,42.11873847495832,70.76609879560651,104.04375044345355
ARIZONA,18667,7378838,957784,0.12980146738551518,464354,0.06293050477595524,493430,0.06687096260955994,25.298021178944435,194.89780576831518,401.9993367129388,378.31100662707985
NEW JERSEY,16792,9343809,2236554,0.23936212737225257,1257744,0.13460720355050065,978810,0.10475492382175192,17.97125776008478,75.0797879237434,133.50888575099543,171.5552558719261
VIRGINIA,15204,8705170,1142826,0.13128129605740038,647130,0.074338582704301,495696,0.05694271335309937,17.465483155412244,133.0386253025395,234.94506513374438,306.72024789387046
TENNESSEE,14615,7066383,431545,0.061070140126851316,169013,0.023917894062634306,262532,0.037152246064217014,20.682433997704344,338.66688294384136,864.7263819942845,556.6940411073697
PENNSYLVANIA,12373,13018639,1004975,0.07719508928698307,556395,0.04273833846994298,448580,0.03445675081704009,9.504065670766353,123.11749048483793,222.37798686185175,275.8259396317268
ALABAMA,10656,5086768,203578,0.04002109001236148,80179,0.015762267907638013,123399,0.024258822104723472,20.948468654359704,523.4357347061077,1329.0263036455929,863.5402231784699
NORTH CAROLINA,9775,10730404,973325,0.09070720916006518,412965,0.03848550343491261,560360,0.05222170572515256,9.109629050313483,100.42894202861325,236.70286828181563,174.44143050895852
OKLAHOMA,9440,4028634,256215,0.06359848027892333,103474,0.02568463652940426,152741,0.03791384374951907,23.43226016560452,368.44056749214525,912.3064731236832,618.0396880994625
MASSACHUSETTS,9190,7044056,1271206,0.18046506160655168,683507,0.0970331581691003,587699,0.08343190343745138,13.04646073228265,72.29355430984435,134.45363397887658,156.3725648673896
LOUISIANA,9157,4611961,224537,0.04868579764659762,90569,0.019637850363435422,133968,0.029047947283162196,19.85489469663772,407.81697448527416,1011.0523468294891,683.5214379553327
MARYLAND,8849,6206011,1030670,0.16607608333275595,562664,0.09066435750758418,468006,0.07541172582517176,14.258756550705437,85.856772778872,157.26970270001277,189.07877249436976
INDIANA,8024,6851073,431255,0.06294707412984799,177452,0.025901344212797033,253803,0.03704572991705095,11.71203401277435,186.06161087987385,452.17861731623196,316.1507153185739
SOUTH CAROLINA,7829,5296225,305101,0.05760725799980174,137115,0.025889194662235836,167986,0.03171806333756591,14.782226963544788,256.60355095525745,570.9805637603472,466.0507423237651
ILLINOIS,7738,12694798,1872449,0.14749734497547737,980128,0.07720705756798966,892321,0.0702902874074877,6.095410104201736,41.32555813269146,78.94887198406738,86.71767222781935
UTAH,7482,3392331,302552,0.08918705161730975,127851,0.03768824445491905,174701,0.0514988071623907,22.05563077423754,247.29633253126735,585.2124738953938,428.2745948792508
OHIO,6936,11810293,616102,0.05216652965341334,326433,0.02763970377364897,289669,0.02452682587976437,5.8728432901707,112.57876130900404,212.47851779691393,239.4457121749307
MINNESOTA,6612,5739445,497722,0.08671953472853211,293146,0.05107567020853061,204576,0.0356438645200015,11.520277657508698,132.84524292677438,225.55313734453142,323.2050680431722
COLORADO,6571,5862189,576653,0.09836820341343482,274686,0.04685724052909246,301967,0.05151096288434235,11.209123417890485,113.9506774438007,239.21859869086887,217.6065596571811
MICHIGAN,6301,10077761,728881,0.07232568821586462,412498,0.04093151246591381,316383,0.031394175749950806,6.252380861185337,86.44758197840252,152.7522557685128,199.15735042653998
WASHINGTON,6287,7816116,1206843,0.15440443821458125,587791,0.07520244070072656,619052,0.0792019975138547,8.043637018693172,52.09459722598548,106.95978672691484,101.5585120474532
NEW MEXICO,5925,2120246,199738,0.0942051063885983,86800,0.040938645798647894,112938,0.05326646058995041,27.944870548040182,296.63859656149555,682.6036866359448,524.6241300536577
ARKANSAS,5560,3049391,165740,0.05435183615351393,56884,0.01865421653044821,108856,0.03569761962306572,18.233148848409403,335.46518643658743,977.4277476970677,510.7665172337767
